"seqname","accession","tax_id","species_name","is_type"
"NR_114079.1_Escherichia_fergusonii_strain_NBRC_102419_16S_ribosomal_RNA_gene_partial_sequence","","564","Escherichia fergusonii strain NBRC 102419","FALSE"
"NR_104826.1_Shigella_sonnei_strain_CECT_4887_16S_ribosomal_RNA_gene_partial_sequence","","624","Shigella sonnei strain CECT 4887","FALSE"
"NR_116340.1_Brenneria_alni_strain_pvfi20_16S_ribosomal_RNA_gene_partial_sequence","","71656","Brenneria alni strain pvfi20","FALSE"
"NR_112558.1_Escherichia_coli_strain_JCM_1649_16S_ribosomal_RNA_gene_partial_sequence","","866789","Escherichia coli strain JCM 1649","FALSE"
"NR_027549.1_Escherichia_fergusonii_strain_ATCC_35469_16S_ribosomal_RNA_gene_partial_sequence","","585054","Escherichia fergusonii strain ATCC 35469","FALSE"
"NR_026331.1_Shigella_flexneri_strain_ATCC_29903_16S_ribosomal_RNA_gene_partial_sequence","","623","Shigella flexneri strain ATCC 29903","FALSE"
"NR_119109.1_Escherichia_vulneris_strain_ATCC_33821_16S_ribosomal_RNA_partial_sequence","","566","Escherichia vulneris strain ATCC 33821","FALSE"
"NR_024570.1_Escherichia_coli_strain_U_5_41_16S_ribosomal_RNA_gene_partial_sequence","","562","Escherichia coli strain U 5/41","FALSE"
"NR_118521.1_Campylobacter_lanienae_strain_CCUG_44467_16S_ribosomal_RNA_gene_partial_sequence","","1031753","Campylobacter lanienae strain CCUG 44467","FALSE"
"NR_115704.1_Campylobacter_lanienae_strain_NCTC_13004_16S_ribosomal_RNA_gene_partial_sequence","","1031753","Campylobacter lanienae strain NCTC 13004","FALSE"
"NR_028698.1_Campylobacter_lanienae_strain_NCTC_13004_16S_ribosomal_RNA_gene_partial_sequence","","1031753","Campylobacter lanienae strain NCTC 13004","FALSE"
"S004462918_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_33676_CP012681","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
